   ERROR: 2024-10-31 03:21:02,747:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:30: #15-types-statiques-vs-types-dynamiques: No such file or directory
   DEBUG: 2024-10-31 03:21:02,747:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,747:      pdf_renderer.py:  470: printSegment: 1.5.1. Types statiques
   ERROR: 2024-10-31 03:21:02,748:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:31: #types-statiques: No such file or directory
   DEBUG: 2024-10-31 03:21:02,748:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,749:      pdf_renderer.py:  470: printSegment: 1.5.2. Types dynamiques
   ERROR: 2024-10-31 03:21:02,749:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:32: #types-dynamiques: No such file or directory
   DEBUG: 2024-10-31 03:21:02,749:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,750:      pdf_renderer.py:  470: printSegment: 1.5.3. Conclusion sur les types
   ERROR: 2024-10-31 03:21:02,751:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:33: #conclusion-sur-les-types: No such file or directory
   DEBUG: 2024-10-31 03:21:02,751:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,751:      pdf_renderer.py:  470: printSegment: 1.6. L
   DEBUG: 2024-10-31 03:21:02,752:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2024-10-31 03:21:02,752:      pdf_renderer.py:  470: printSegment: algorithmie et les mathématiques dans la programmation
   ERROR: 2024-10-31 03:21:02,753:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:34: #16-lalgorithmie-et-les-math%C3%A9matiques-dans-la-programmation: No such file or directory
   DEBUG: 2024-10-31 03:21:02,753:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-10-31 03:21:02,754:      pdf_renderer.py:  470: printSegment: 1.7. Les conventions
   ERROR: 2024-10-31 03:21:02,754:      pdf_renderer.py:  217: C:\Users\Swampy\PycharmProjects\livre\truc.md:35: #17-les-conventions: No such file or directory
   DEBUG: 2024-10-31 03:21:02,755:      pdf_renderer.py:  470: printSegment: 2. Les outils
